ticker;quantity;Cost Basis;Price
BILL.US;2;37,89;35,81
FFSPC1.0329.AIX.KZ;118;99,991694;100
FRHC.US;3;141,32;144
GOOGL.US;2;132,58;386,5
GTLB_IPO.US;1;77;26,54
HSBK.KZ;148;384,894187;368,49
JEPI.US;20;56,99;56,27
KASXF.KZ;71800;1,02;1
KSPI.US;19;91,798556;91,21
KZTCB3.KZ;15;104,8854;102,3499
LI.US;15;38,65;15,83
MFOKB25.KZ;1005;101;96
MFRFB13.KZ;1266;100,036965;99,85
NFLX.US;2;89;88,47
PFE.US;2;26,5;25,87
PINS.US;26;33,987307;18,95
PLUG.US;13;11,674076;3,88
PRIME.FF.FUNDS;2;2883,23;754
QQQI.US;11;53,96;56,42
RIVN_IPO.US;1;78;14,18
TQQQ.US;20;50;78,79
VNRX.US;1;21,48;3,01
VNRX_IPO.US;2;23,13;3,01
XYZ.US;1;168,98;67,92
